Epoch,Random_Noise_L2,Predicted_Noise_L2,Improvement_Percent
1,0.6996793746948242,0.7042462229728699,-0.6527058597429078
2,0.6453430652618408,0.4167177379131317,35.42694415658544
3,0.9337605834007263,0.5943617820739746,36.34751855670241
4,0.7809457182884216,0.5559371113777161,28.812323525359872
5,0.6001051068305969,0.4495919644832611,25.081130061075118
6,0.9296063780784607,0.5967022180557251,35.81130335087243
7,0.708843469619751,0.43435239791870117,38.72379212977678
8,0.7496365904808044,0.48697227239608765,35.03888703141455
9,0.9736330509185791,0.5546218156814575,43.0358475240547
